n,regex_pattern
1424,xpymep([0-9]?)\.exe
1425,Y!J-[A-Z][A-Z][A-Z]
1426,Yaanb
1427,yacy
1428,Yahoo Link Preview
1429,YahooCacheSystem
1430,YahooMailProxy
1431,YahooYSMcm
1432,YandeG
1433,Yandex(?!Search)
1434,yanga
1435,yeti
1436,Yo-yo
1437,Yoleo Consumer
1438,yomins\.com
1439,yoogliFetchAgent
1440,YottaaMonitor
1441,Your-Website-Sucks
1442,yourls\.org
1443,YoYs\.net
1444,YP\.PL
1445,Zabbix
1446,Zade
1447,Zao
1448,Zapier
1449,Zauba
1450,Zemanta Aggregator
1451,Zend\\Http\\Client
1452,Zend_Http_Client
1453,Zermelo
1454,Zeus 
1455,zgrab
1456,ZnajdzFoto
1457,ZnHTTP
1458,Zombie\.js
1459,Zoom\.Mac
1460,ZoteroTranslationServer
1461,ZyBorg
1462,[a-z0-9\-_]*(bot|crawl|headless|archiver|transcoder|spider|uptime|validator|fetcher|cron|checker|reader|extractor|monitoring|analyzer|scraper)
